time,fcacc,rlvacc,frtjacc,frtmacc,fbracc,rlwacc,crtacc,rleavc,frootcj,frootcm,fbrchc,rlwodc,crootc,strucc(1),strucc(2),metabc(1),metabc(2),som1c(1),som1c(2),som2c(1),som2c(2),som3c,dslit,dsom2c(1),dsom2c(2),dsom3c,dsomtc,dsomsc,nppt,nstemp,natemp,Condition
1992.33,8.4719,7.6247,0.8048,0.0424,0,0,0,8.3013,75.6589,110.9787,727.6852,5643.424,1368.097,549.9436,246.4314,54.0985,58.5571,37.5956,72.4482,790.9099,2530.868,2971.144,186.5945,297.1375,185.8985,-13.1415,86.8683,79.5333,0.3741935484,15.23886452,13.77177419,N_addition
1992.42,183.1871,162.5055,19.6475,1.0341,0,0,0,163.1821,86.3467,111.1264,725.5052,5640.608,1367.412,528.9443,242.8936,40.6007,45.6693,38.1162,72.465,792.3588,2531.898,2971.25,187.0537,295.6302,186.0555,-13.135,86.6719,79.6152,0.2343333333,18.14014667,16.68416667,N_addition
1992.5,302.3818,180.8851,69.574,3.6618,8.687,31.8522,7.7217,181.5618,123.8987,114.0744,732.0118,5669.635,1374.449,509.5104,240.9586,31.2441,40.0023,36.7194,70.9759,793.4839,2533.266,2971.34,187.4453,294.2231,186.2068,-13.1288,86.5755,79.6813,0.4132258065,20.65282581,19.51612903,N_addition
1992.58,512.2397,181.3086,152.1398,8.0074,30.7411,112.7174,27.3254,181.9852,183.2343,121.6866,751.8402,5747.645,1393.361,485.9933,238.1439,23.1038,34.1593,33.6732,67.7525,794.2075,2534.074,2971.482,187.8231,292.5445,186.3806,-13.1186,86.3929,79.7169,0.2832258065,20.37742903,19.61612903,N_addition
1992.67,683.3627,181.7329,221.6526,11.6659,48.2961,177.0855,42.9298,182.4095,221.3598,130.6637,767.113,5809.12,1408.264,465.7708,236.598,18.6823,33.6587,30.871,64.48,794.1046,2533.629,2971.622,188.0043,291.1512,186.5229,-13.1096,86.2455,79.7105,0.714,16.45820667,16.20416667,N_addition
1992.75,720.8699,181.7329,257.2844,13.5413,48.2961,177.0855,42.9298,182.4095,227.2823,136.5886,764.8151,5806.219,1407.561,451.844,236.1255,16.7784,35.3008,29.0547,62.4524,793.603,2532.269,2971.736,188.0263,290.2071,186.6163,-13.102,86.1391,79.6831,0.2009677419,8.376012903,9.020967742,N_addition
1992.83,730.5602,181.7329,266.4902,14.0258,48.2961,177.0855,42.9298,119.6199,216.0873,136.4814,762.524,5803.313,1406.857,484.7683,235.9541,36.8002,38.5472,28.2478,61.5328,793.1226,2531.087,2971.815,183.2157,289.614,186.6703,-13.0972,86.0875,79.661,0.298,1.51399,3.714166667,N_addition
1992.92,730.5602,181.7329,266.4902,14.0258,48.2961,177.0855,42.9298,0.6762,196.5499,133.7531,760.2397,5800.413,1406.154,557.9765,238.1333,73.241,47.4968,30.043,61.5756,793.0494,2530.805,2971.855,176.5559,289.2164,186.7097,-13.0952,86.18,79.6679,0.3222580645,-1.061425806,-2.751612903,N_addition
1993,0,0,0,0,0,0,0,0.6762,175.7041,130.4282,757.9624,5797.506,1405.45,553.9675,241.3692,70.7767,58.6523,31.7428,62.0879,793.1319,2530.654,2971.881,176.5004,288.9175,186.7357,-13.0932,86.3202,79.6793,0.3880645161,-0.09968709677,-6.633064516,N_addition
1993.08,0,0,0,0,0,0,0,0.6762,156.9635,127.1645,755.6918,5794.614,1404.746,549.2408,244.1748,67.6224,67.4747,33.3808,63.0659,793.2867,2530.756,2971.903,176.4785,288.568,186.7655,-13.09,86.4445,79.7039,0.2485714286,0,-2.420535714,N_addition
